time	ax	ay	az	atotal
5.185	0.23	0.15	0.05	0.28
5.193	0.23	0.15	0.05	0.28
5.205	0.22	0.03	0.04	0.23
5.215	0.17	-0.07	0.03	0.19
5.225	0.07	-0.14	0.03	0.16
5.235	-0.04	-0.16	0.02	0.17
5.243	-0.04	-0.16	0.02	0.17
5.255	-0.05	-0.15	0.01	0.16
5.266	0	-0.15	-0.02	0.15
5.276	0.03	-0.09	-0.04	0.1
5.286	0.11	0	0.01	0.11
5.293	0.12	0	0.01	0.12
5.306	0.26	0.04	0.02	0.26
5.316	0.25	0.01	0.04	0.26
5.326	0.19	-0.1	0.03	0.21
5.336	0.17	-0.12	0.04	0.22
5.343	0.17	-0.12	0.04	0.22
5.356	0.22	-0.21	0.03	0.31
5.366	0.19	-0.18	0.01	0.26
5.376	0.2	-0.17	-0.01	0.26
5.386	0.28	-0.09	0.02	0.3
5.393	0.29	-0.09	0.02	0.3
5.406	0.49	0.05	0.18	0.53
5.416	0.46	0.12	0.08	0.48
5.426	0.28	0.11	0.01	0.3
5.437	0.18	-0.07	-0.03	0.2
5.443	0.19	-0.07	-0.04	0.2
5.456	0.15	-0.1	0.03	0.18
5.466	0.04	-0.13	-0.03	0.14
5.477	-0.02	-0.12	-0.07	0.14
5.486	-0.01	-0.14	-0.07	0.15
5.492	-0.01	-0.14	-0.07	0.15
5.506	0.15	-0.1	0.04	0.19
